5.7909321; 9.9579993; 6.4291175; 0.2187114; 0.2831830; 3.7149049; -1.1797480
5.8907758; 9.9348575; 6.5265801; 0.2477754; 0.2973208; 3.6830609; -1.1695917
5.9906194; 9.9089430; 6.6228878; 0.2781930; 0.3128896; 3.6512169; -1.1594355
6.0904631; 9.8801892; 6.7178581; 0.3100736; 0.3299150; 3.6193729; -1.0656906
6.1903067; 9.8481303; 6.8124332; 0.3437104; 0.3365968; 3.5898545; -0.9211871
6.2901504; 9.8124410; 6.9070948; 0.3771782; 0.3251954; 3.5641417; -0.9145653
6.3899941; 9.7739563; 6.9998394; 0.4093121; 0.3150142; 3.5384289; -0.9079435
6.4898377; 9.7329251; 7.0905381; 0.4402205; 0.3061494; 3.5127161; -0.9013216
6.5896814; 9.6895962; 7.1790621; 0.4700167; 0.2986917; 3.4870033; -0.7275811
6.6895250; 9.6428547; 7.2677793; 0.4997533; 0.2963802; 3.4661078; -0.5698527
6.7893687; 9.5928314; 7.3562029; 0.5299470; 0.2980720; 3.4496537; -0.5671411
6.8892123; 9.5408724; 7.4419243; 0.5599288; 0.3001956; 3.4331996; -0.5644295
6.9890560; 9.4871211; 7.5249025; 0.5897352; 0.3028452; 3.4167456; -0.5617179
7.0888997; 9.4317207; 7.6050965; 0.6194082; 0.3061224; 3.4002915; -0.1700563
7.1887433; 9.3711818; 7.6872206; 0.6513111; 0.3201413; 3.3952944; -0.1362994
7.2885870; 9.3086721; 7.7664905; 0.6844151; 0.3358477; 3.3912840; -0.1361383
7.3884306; 9.2445359; 7.8424233; 0.7186102; 0.3523625; 3.3872735; -0.1359773
7.4882743; 9.1788141; 7.9149619; 0.7539402; 0.3696453; 3.3832631; 0.2096183
7.5881179; 9.1092844; 7.9862833; 0.7917855; 0.3913164; 3.3894435; 0.4277072
7.6879616; 9.0365062; 8.0553212; 0.8320769; 0.4109669; 3.4020192; 0.4292912
7.7878053; 8.9615901; 8.1207672; 0.8736698; 0.4240387; 3.4145950; 0.4308752
7.8876489; 8.8842636; 8.1827861; 0.9160487; 0.4296754; 3.4271707; 0.7199865
7.9874926; 8.8049373; 8.2410666; 0.9581323; 0.4208463; 3.4480823; 0.9834521
8.0873362; 8.7233622; 8.2959588; 0.9984808; 0.3987365; 3.4764428; 0.9915078
8.1871799; 8.6387310; 8.3481887; 1.0367830; 0.3707070; 3.5048032; 0.9995636
8.2870235; 8.5508259; 8.3980322; 1.0726390; 0.3384394; 3.5331637; 0.9941739
8.3868672; 8.4621898; 8.4443778; 1.1049004; 0.3096772; 3.5611473; 0.9795240
8.4867109; 8.3749060; 8.4866679; 1.1340309; 0.2912684; 3.5885050; 0.9870202
8.5865545; 8.2845896; 8.5272863; 1.1620123; 0.2740820; 3.6158628; 0.9945163
8.6863982; 8.1912740; 8.5662130; 1.1889034; 0.2580696; 3.6432206; 1.0020125
8.7862418; 8.0949930; 8.6034279; 1.2147621; 0.2431749; 3.6705783; 0.8809681
8.8860855; 8.0032222; 8.6363462; 1.2377957; 0.2294849; 3.6944639; 0.8671323
8.9859291; 7.9101871; 8.6673787; 1.2596967; 0.2174196; 3.7178245; 0.8725980
9.0857728; 7.8149027; 8.6968994; 1.2808434; 0.2068141; 3.7411850; 0.8780637
9.1856165; 7.7174767; 8.7248760; 1.3013237; 0.1975028; 3.7645456; 0.8835294
9.2854601; 7.6180169; 8.7512765; 1.3212177; 0.1893436; 3.7879062; 0.7727328
9.3853038; 7.5229746; 8.7745807; 1.3393266; 0.1808616; 3.8082198; 0.7696967
